"Destination","ISO2","Prefix","BillMinimum","BillIncrement","PerMinuteCost","Currency"
"Abkhazia Fixed","AB","7840","1","1","0.0253","USD"
"Abkhazia Mobile - A-Mobile","AB","79407","1","1","0.0868","USD"
"Abkhazia Mobile - Aquafon","AB","79409","1","1","0.0868","USD"
"Abkhazia Mobile","AB","7940","1","1","0.1103","USD"
"Afghanistan Fixed","AF","93","1","1","0.1822","USD"
"Afghanistan Mobile - At","AF","9375","1","1","0.1738","USD"
"Afghanistan Mobile - AWCC","AF","9370","1","1","0.1768","USD"
"Afghanistan Mobile - Etisalat","AF","9378","1","1","0.1723","USD"
"Afghanistan Mobile","AF","937","1","1","0.1787","USD"
"Afghanistan Mobile - MTN","AF","9377","1","1","0.1846","USD"
"Afghanistan Mobile - Roshan","AF","9379","1","1","0.1833","USD"
"Albania Fixed - AlbTel","AL","3554249","1","1","0.0428","USD"
"Albania Fixed","AL","355","1","1","0.0426","USD"
"Albania Fixed - OLO","AL","3554250","1","1","0.0426","USD"
"Albania Fixed - OLO","AL","3554251","1","1","0.0426","USD"
"Albania Fixed - OLO","AL","3554252","1","1","0.0426","USD"
"Albania Fixed - Tirana","AL","3554","1","1","0.0427","USD"
"Albania Mobile - AMC","AL","35568","1","1","0.0899","USD"
"Albania Mobile - Eagle Mobile","AL","35567","1","1","0.101","USD"
"Albania Mobile - Plus","AL","35566","1","1","0.2102","USD"
"Albania Mobile - Vodafone","AL","35569","1","1","0.088","USD"
"Algeria Fixed - Algiers","DZ","21320","1","1","0.0561","USD"
"Algeria Fixed - Algiers","DZ","21321","1","1","0.0561","USD"
"Algeria Fixed - Algiers","DZ","21322","1","1","0.0561","USD"
"Algeria Fixed - CAT","DZ","2131","1","1","0.0561","USD"
"Algeria Fixed","DZ","213","1","1","0.0561","USD"
"Algeria Mobile","DZ","2139619","1","1","0.0561","USD"
"Algeria Mobile - Mobilis","DZ","2136","1","1","0.2004","USD"
"Algeria Mobile - Mobilis","DZ","213699","1","1","0.2004","USD"
"Algeria Mobile - Mobilis","DZ","21397","1","1","0.2004","USD"
"Algeria Mobile - Mobilis","DZ","21398","1","1","0.2004","USD"
"Algeria Mobile - Mobilis","DZ","21399","1","1","0.2004","USD"
"Algeria Mobile - Orascom","DZ","21377","1","1","0.2774","USD"
"Algeria Mobile - Orascom","DZ","213780","1","1","0.2774","USD"
"Algeria Mobile - Orascom","DZ","21379","1","1","0.2774","USD"
"Algeria Mobile - Wataniya","DZ","2135","1","1","0.2807","USD"
"American Samoa Fixed","AS","1684","1","1","0.0348","USD"
"American Samoa Mobile","AS","16842","1","1","0.0348","USD"
"American Samoa Mobile","AS","168473","1","1","0.0348","USD"
"Andorra Fixed","AD","376","1","1","0.0211","USD"
"Andorra Mobile","AD","3763","1","1","0.1487","USD"
"Andorra Mobile","AD","3764","1","1","0.1487","USD"
"Andorra Mobile","AD","3765","1","1","0.1487","USD"
"Andorra Mobile","AD","3766","1","1","0.1487","USD"
"Angola Fixed","AO","244","1","1","0.0777","USD"
"Angola Mobile - Movicel","AO","24490","1","1","0.0837","USD"
"Angola Mobile - Movicel","AO","24491","1","1","0.0837","USD"
"Angola Mobile - Movicel","AO","24494","1","1","0.0837","USD"
"Angola Mobile - Movicel","AO","24495","1","1","0.0837","USD"
"Angola Mobile - Movicel","AO","24496","1","1","0.0837","USD"
"Angola Mobile - Movicel","AO","24497","1","1","0.0837","USD"
"Angola Mobile - Movicel","AO","24498","1","1","0.0837","USD"
"Angola Mobile - Movicel","AO","24499","1","1","0.0837","USD"
"Angola Mobile - Unitel","AO","24492","1","1","0.084","USD"
"Angola Mobile - Unitel","AO","24493","1","1","0.084","USD"
"Anguilla Fixed","AI","1264","1","1","0.0595","USD"
"Anguilla Mobile - 3M","AI","1264536","1","1","0.1608","USD"
"Anguilla Mobile - 3M","AI","1264537","1","1","0.1608","USD"
"Anguilla Mobile - 3M","AI","1264538","1","1","0.1608","USD"
"Anguilla Mobile - 3M","AI","1264539","1","1","0.1608","USD"
"Anguilla Mobile - 3M","AI","1264543","1","1","0.1608","USD"
